"INDEX_NAME","SITE_TYPE","METRIC_NAME","SAMPLEID","METRIC_VALUE","INDEX_REGION","LEVEL","NUMERIC_RULES","SYMBOL","LOWER","UPPER","INCREASE","DESCRIPTION","RULE_TYPE","EXC_RULE","NOTE_RULE","MEMBERSHIP","NAME_WIDE"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-011788-DCE-2017-0723-11:40",562,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","BIO06600-BLAC77-DCE-2012-0911-11:15",542,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","7296_11895",549,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","00006CSR",539,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","BIO06600-CAYA04-DCE-2012-0827-10:00",547,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","BIO06600-CAYA04-DCE-2015-0728-11:30",540,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","BIO06600-DEER04-DCE-2015-1012-12:10",548,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-018208-DCE-2012-0808-13:50",580,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","02102CSR",530,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","02104CSR",527,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","02107EMAP",532,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","02139CSR",498,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","02139CSRd",461,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","03002EMAP",535,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-034366-DCE-2011-0817-17:15",527,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","08117DFW",528,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","08117DFWd",594,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
