"INDEX_NAME","INDEX_CLASS","METRIC_NAME","SAMPLEID","METRIC_VALUE","LEVEL","NUMERIC_RULES","SYMBOL","LOWER","UPPER","INCREASE","DESCRIPTION","RULE_TYPE","EXC_RULE","NOTE_RULE","SITE_TYPE","INDEX_REGION","MEMBERSHIP","NAME_WIDE"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_BCG_att1i23","06095DFW",47.9166666666667,4,"≥ 10% (5-15)",">=",5,15,TRUE,"% Attribute Ii+II+III % taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_pt_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_BCG_att1i23","05014REF",52.8301886792453,3,"≥ 30% (25-35)",">=",25,35,TRUE,"% Attribute Ii+II+III % taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_pt_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_BCG_att1i23","05014REF",52.8301886792453,2,"≥ 45% (40-50)",">=",40,50,TRUE,"% Attribute Ii+II+III % taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L2_Rule0_pt_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_BCG_att1i23","05014REF",52.8301886792453,4,"≥ 10% (5-15)",">=",5,15,TRUE,"% Attribute Ii+II+III % taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_pt_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_NonIns_BCG_att456","06095DFW",4.16666666666667,5,"≤ 25% (20-30)","<=",20,30,FALSE,"% Attribute IV+V+VI non-insect taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L5_Rule0_pt_NonIns_BCG_att456"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_NonIns_BCG_att456","06095DFW",4.16666666666667,3,"≤ 15% (10-20)","<=",10,20,FALSE,"% Attribute IV+V+VI non-insect taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_pt_NonIns_BCG_att456"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_NonIns_BCG_att456","06095DFW",4.16666666666667,4,"≤ 20% (15-25)","<=",15,25,FALSE,"% Attribute IV+V+VI non-insect taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_pt_NonIns_BCG_att456"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_NonIns_BCG_att456","06095DFW",4.16666666666667,2,"≤ 15% (10-20)","<=",10,20,FALSE,"% Attribute IV+V+VI non-insect taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L2_Rule0_pt_NonIns_BCG_att456"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_NonIns_BCG_att456","05014REF",3.77358490566038,5,"≤ 25% (20-30)","<=",20,30,FALSE,"% Attribute IV+V+VI non-insect taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L5_Rule0_pt_NonIns_BCG_att456"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_NonIns_BCG_att456","05014REF",3.77358490566038,3,"≤ 15% (10-20)","<=",10,20,FALSE,"% Attribute IV+V+VI non-insect taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_pt_NonIns_BCG_att456"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_NonIns_BCG_att456","05014REF",3.77358490566038,4,"≤ 20% (15-25)","<=",15,25,FALSE,"% Attribute IV+V+VI non-insect taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_pt_NonIns_BCG_att456"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_NonIns_BCG_att456","05014REF",3.77358490566038,2,"≤ 15% (10-20)","<=",10,20,FALSE,"% Attribute IV+V+VI non-insect taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L2_Rule0_pt_NonIns_BCG_att456"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_NonIns_BCG_att456","05014REFa",4.16666666666667,5,"≤ 25% (20-30)","<=",20,30,FALSE,"% Attribute IV+V+VI non-insect taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L5_Rule0_pt_NonIns_BCG_att456"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_NonIns_BCG_att456","05014REFa",4.16666666666667,3,"≤ 15% (10-20)","<=",10,20,FALSE,"% Attribute IV+V+VI non-insect taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_pt_NonIns_BCG_att456"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_NonIns_BCG_att456","05014REFa",4.16666666666667,4,"≤ 20% (15-25)","<=",15,25,FALSE,"% Attribute IV+V+VI non-insect taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_pt_NonIns_BCG_att456"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_NonIns_BCG_att456","05014REFa",4.16666666666667,2,"≤ 15% (10-20)","<=",10,20,FALSE,"% Attribute IV+V+VI non-insect taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L2_Rule0_pt_NonIns_BCG_att456"
"BCG_MariNW_Bugs500ct","higrad-hielev","x_Shan_2","06095DFW",4.62001416395355,3,"≥ 3.5 (3.3-3.7)",">=",3.3,3.7,TRUE,"Shannon-Wiener diversity index (base 2)","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_x_Shan_2"
"BCG_MariNW_Bugs500ct","higrad-hielev","x_Shan_2","06095DFW",4.62001416395355,2,"≥ 4.0 (3.8-4.2)",">=",3.8,4.2,TRUE,"Shannon-Wiener diversity index (base 2)","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L2_Rule0_x_Shan_2"
"BCG_MariNW_Bugs500ct","higrad-hielev","x_Shan_2","05014REF",4.82437110212437,3,"≥ 3.5 (3.3-3.7)",">=",3.3,3.7,TRUE,"Shannon-Wiener diversity index (base 2)","Rule0","Median","best 2nd of 3","HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_x_Shan_2"
