"SampleID","L1","L2","L3","L4","L5","L6","Memb.Total","Memb.QC","Lev.1.Memb","Lev.1.Name","Lev.2.Memb","Lev.2.Name","Lev.Memb.Diff","Lev.Memb.close","Lev.Prop.Num","Lev.Prop.Nar"
"SEN06600-TWEN05-DCE-2010-0928-13:20",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TWEN05-DCE-2011-0802-10:10",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TWEN05-DCE-2012-0815-10:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TWEN05-DCE-2013-0819-10:43",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TWEN05-DCE-2014-0826-13:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TWEN05-DCE-2015-0917-09:35",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TWEN05-DCE-2016-0727-09:54",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TWEN05-DCE-2017-0726-10:18",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-000188-DCE-2012-0724-13:40",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-000188-DCE-2012-0826-10:50",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-000672-DCE-2009-0923-11:09",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-000672-DCE-2013-0816-11:45",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-000857-DCE-2010-0729-12:57",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-001402-DCE-2009-0927-11:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-001402-DCE-2013-0721-09:47",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-001405-DCE-2010-0914-12:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-001405-DCE-2014-0815-10:35",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-001418-DCE-2013-0711-11:34",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-001598-DCE-2011-0802-10:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-001598-DCE-2015-0812-08:46",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-001966-DCE-2011-0801-11:52",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-001968-DCE-2012-0810-09:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-001968-DCE-2017-0725-09:50",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-003182-DCE-2011-0803-09:17",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-003182-DCE-2015-0813-09:47",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-003672-DCE-2012-0730-11:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-003672-DCE-2017-0724-09:28",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-003752-DCE-2012-0728-13:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-003752-DCE-2017-0722-08:34",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-003752-DCE-2017-0818-08:16",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-004206-DCE-2013-0822-10:36",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-004237-DCE-2014-0716-11:33",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-005141-DCE-2010-0723-12:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-005141-DCE-2014-0729-13:55",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-005973-DCE-2010-0722-14:35",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-006062-DCE-2011-0810-10:55",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-007006-DCE-2011-0801-09:56",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-008504-DCE-2012-0801-09:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-008504-DCE-2017-0725-09:44",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-009134-DCE-2011-0828-11:35",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-009134-DCE-2015-0825-09:40",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-009724-DCE-2012-0829-08:15",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-009724-DCE-2017-0724-09:45",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-009724-DCE-2017-0822-09:24",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-009790-DCE-2011-0827-15:40",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-009790-DCE-2015-0811-09:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-011061-DCE-2014-0727-10:21",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-011788-DCE-2012-0818-11:20",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-011788-DCE-2017-0723-11:40",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-011788-DCE-2017-0819-08:59",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-013920-DCE-2017-0712-09:27",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-017264-DCE-2012-0731-14:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-017264-DCE-2017-0901-09:15",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-017616-DCE-2012-0813-10:15",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-017680-DCE-2012-0814-09:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-018208-DCE-2012-0808-13:50",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-018296-DCE-2012-0815-11:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-020634-DCE-2015-0806-09:23",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-021552-DCE-2017-0821-10:55",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-021900-DCE-2017-0819-08:52",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-024284-DCE-2012-0804-09:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-024830-DCE-2015-0930-09:26",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-034366-DCE-2011-0817-17:15",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-034366-DCE-2015-0715-09:04",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-035408-DCE-2012-0731-09:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-035408-DCE-2012-0829-14:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-035408-DCE-2017-0708-09:36",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-038208-DCE-2012-0811-09:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-038208-DCE-2017-0709-10:05",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-040711-DCE-2017-0805-08:45",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-058359-DCE-2017-0903-10:56",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-073336-DCE-2017-0708-08:47",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"WAM06600-073336-DCE-2017-0818-08:49",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
