"SAMPLEID","INDEX_NAME","INDEX_REGION","ni_total","nt_total"
"WAM06600-000188-DCE-2012-0724-13:40","BCG_MariNW_Bugs500ct","HiGrad-HiElev",524,47
"WAM06600-000188-DCE-2012-0826-10:50","BCG_MariNW_Bugs500ct","HiGrad-HiElev",475,36
"WAM06600-000672-DCE-2009-0923-11:09","BCG_MariNW_Bugs500ct","HiGrad-HiElev",496,49
"WAM06600-000672-DCE-2013-0816-11:45","BCG_MariNW_Bugs500ct","HiGrad-HiElev",535,40
"WAM06600-000857-DCE-2010-0729-12:57","BCG_MariNW_Bugs500ct","HiGrad-HiElev",501,51
"WAM06600-001402-DCE-2009-0927-11:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",517,57
"WAM06600-001402-DCE-2013-0721-09:47","BCG_MariNW_Bugs500ct","HiGrad-HiElev",542,58
"WAM06600-001405-DCE-2010-0914-12:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",532,40
"WAM06600-001405-DCE-2014-0815-10:35","BCG_MariNW_Bugs500ct","HiGrad-HiElev",511,43
"WAM06600-001418-DCE-2013-0711-11:34","BCG_MariNW_Bugs500ct","HiGrad-HiElev",504,66
"WAM06600-001598-DCE-2011-0802-10:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",552,71
"WAM06600-001598-DCE-2015-0812-08:46","BCG_MariNW_Bugs500ct","HiGrad-HiElev",544,55
"WAM06600-001966-DCE-2011-0801-11:52","BCG_MariNW_Bugs500ct","HiGrad-HiElev",532,39
"WAM06600-001968-DCE-2012-0810-09:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",555,38
"WAM06600-001968-DCE-2017-0725-09:50","BCG_MariNW_Bugs500ct","HiGrad-HiElev",527,46
"WAM06600-003182-DCE-2011-0803-09:17","BCG_MariNW_Bugs500ct","HiGrad-HiElev",548,49
"WAM06600-003182-DCE-2015-0813-09:47","BCG_MariNW_Bugs500ct","HiGrad-HiElev",512,47
"WAM06600-003672-DCE-2012-0730-11:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",547,48
"WAM06600-003672-DCE-2017-0724-09:28","BCG_MariNW_Bugs500ct","HiGrad-HiElev",552,56
"WAM06600-003752-DCE-2012-0728-13:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",501,47
"WAM06600-003752-DCE-2017-0722-08:34","BCG_MariNW_Bugs500ct","HiGrad-HiElev",585,43
"WAM06600-003752-DCE-2017-0818-08:16","BCG_MariNW_Bugs500ct","HiGrad-HiElev",582,47
"WAM06600-004206-DCE-2013-0822-10:36","BCG_MariNW_Bugs500ct","HiGrad-HiElev",592,60
"WAM06600-004237-DCE-2014-0716-11:33","BCG_MariNW_Bugs500ct","HiGrad-HiElev",536,52
"WAM06600-005141-DCE-2010-0723-12:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",541,49
"WAM06600-005141-DCE-2014-0729-13:55","BCG_MariNW_Bugs500ct","HiGrad-HiElev",450,47
"WAM06600-005973-DCE-2010-0722-14:35","BCG_MariNW_Bugs500ct","HiGrad-HiElev",566,55
"WAM06600-006062-DCE-2011-0810-10:55","BCG_MariNW_Bugs500ct","HiGrad-HiElev",544,50
"WAM06600-007006-DCE-2011-0801-09:56","BCG_MariNW_Bugs500ct","HiGrad-HiElev",548,47
"WAM06600-008504-DCE-2012-0801-09:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",552,56
"WAM06600-008504-DCE-2017-0725-09:44","BCG_MariNW_Bugs500ct","HiGrad-HiElev",556,11
"WAM06600-009134-DCE-2011-0828-11:35","BCG_MariNW_Bugs500ct","HiGrad-HiElev",521,57
"WAM06600-009134-DCE-2015-0825-09:40","BCG_MariNW_Bugs500ct","HiGrad-HiElev",528,49
"WAM06600-009724-DCE-2012-0829-08:15","BCG_MariNW_Bugs500ct","HiGrad-HiElev",531,50
"WAM06600-009724-DCE-2017-0724-09:45","BCG_MariNW_Bugs500ct","HiGrad-HiElev",533,45
"WAM06600-009724-DCE-2017-0822-09:24","BCG_MariNW_Bugs500ct","HiGrad-HiElev",557,49
"WAM06600-009790-DCE-2011-0827-15:40","BCG_MariNW_Bugs500ct","HiGrad-HiElev",550,53
"WAM06600-009790-DCE-2015-0811-09:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",555,54
"WAM06600-011061-DCE-2014-0727-10:21","BCG_MariNW_Bugs500ct","HiGrad-HiElev",540,42
"WAM06600-011788-DCE-2012-0818-11:20","BCG_MariNW_Bugs500ct","HiGrad-HiElev",536,51
"WAM06600-011788-DCE-2017-0723-11:40","BCG_MariNW_Bugs500ct","HiGrad-HiElev",562,38
"WAM06600-011788-DCE-2017-0819-08:59","BCG_MariNW_Bugs500ct","HiGrad-HiElev",492,34
"WAM06600-013920-DCE-2017-0712-09:27","BCG_MariNW_Bugs500ct","HiGrad-HiElev",551,31
"WAM06600-017264-DCE-2012-0731-14:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",537,50
"WAM06600-017264-DCE-2017-0901-09:15","BCG_MariNW_Bugs500ct","HiGrad-HiElev",578,55
"WAM06600-017616-DCE-2012-0813-10:15","BCG_MariNW_Bugs500ct","HiGrad-HiElev",573,45
"WAM06600-017680-DCE-2012-0814-09:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",459,52
"WAM06600-018208-DCE-2012-0808-13:50","BCG_MariNW_Bugs500ct","HiGrad-HiElev",580,36
"WAM06600-018296-DCE-2012-0815-11:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",561,37
"WAM06600-020634-DCE-2015-0806-09:23","BCG_MariNW_Bugs500ct","HiGrad-HiElev",539,57
"WAM06600-021552-DCE-2017-0821-10:55","BCG_MariNW_Bugs500ct","HiGrad-HiElev",540,36
"WAM06600-021900-DCE-2017-0819-08:52","BCG_MariNW_Bugs500ct","HiGrad-HiElev",525,45
"WAM06600-024284-DCE-2012-0804-09:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",564,41
"WAM06600-024830-DCE-2015-0930-09:26","BCG_MariNW_Bugs500ct","HiGrad-HiElev",519,39
"WAM06600-034366-DCE-2011-0817-17:15","BCG_MariNW_Bugs500ct","HiGrad-HiElev",527,60
"WAM06600-034366-DCE-2015-0715-09:04","BCG_MariNW_Bugs500ct","HiGrad-HiElev",530,70
"WAM06600-035408-DCE-2012-0731-09:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",565,19
"WAM06600-035408-DCE-2012-0829-14:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",572,27
"WAM06600-035408-DCE-2017-0708-09:36","BCG_MariNW_Bugs500ct","HiGrad-HiElev",548,33
"WAM06600-038208-DCE-2012-0811-09:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",525,38
"WAM06600-038208-DCE-2017-0709-10:05","BCG_MariNW_Bugs500ct","HiGrad-HiElev",577,49
"WAM06600-040711-DCE-2017-0805-08:45","BCG_MariNW_Bugs500ct","HiGrad-HiElev",532,30
"WAM06600-058359-DCE-2017-0903-10:56","BCG_MariNW_Bugs500ct","HiGrad-HiElev",535,49
"WAM06600-073336-DCE-2017-0708-08:47","BCG_MariNW_Bugs500ct","HiGrad-HiElev",600,35
"WAM06600-073336-DCE-2017-0818-08:49","BCG_MariNW_Bugs500ct","HiGrad-HiElev",596,38
