"SAMPLEID","INDEX_NAME","SITE_TYPE","L1","L2","L3","L4","L5","L6"
"BIO06600-SUMM04-DCE-2017-0726-09:59","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.3,0.7,0,0,0
"BIO06600-SUND04-DCE-2015-0722-10:41","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"BIO06600-SUND04-DCE-2017-0725-10:10","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.221283783783785,0.77871622,0,0,0
"BIO06600-WARC77-DCE-2012-0816-08:50","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.3,0.7,0,0
"BIO06600-WARC77-DCE-2015-0923-09:04","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.65942028985507,0.34057971,0,0,0
"BIO06600-WARC77-DCE-2017-0816-08:47","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.7,0.3,0,0,0
"BIO06600-YOUN02-DCE-2013-0731-12:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"BIO06600-YOUN02-DCE-2017-0712-13:41","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,1,0,0
"ERR06600-049208-DCE-2012-0803-10:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,0.5,0.5,0
"SEN06600-LAUG07-DCE-2011-0913-12:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"SEN06600-LAUG07-DCE-2012-0905-11:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"SEN06600-LAUG07-DCE-2013-0910-12:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"SEN06600-LAUG07-DCE-2014-0806-11:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.61940298507463,0.38059701,0,0,0
"SEN06600-LAUG07-DCE-2015-0923-11:23","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.6,0.4,0,0,0
"SEN06600-LAUG07-DCE-2016-0810-10:34","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"SEN06600-LAUG07-DCE-2017-0830-11:19","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"SEN06600-MARB21-DCE-2012-0814-12:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.9,0.1,0,0,0
"SEN06600-MARB21-DCE-2013-0821-10:15","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"SEN06600-MARB21-DCE-2014-0828-11:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.9,0.1,0,0,0
"SEN06600-MARB21-DCE-2015-0915-08:22","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"SEN06600-MARB21-DCE-2016-0728-09:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.833333333333333,0.16666667,0,0,0
"SEN06600-MARB21-DCE-2017-0727-10:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.833333333333333,0.16666667,0,0,0
"SEN06600-POOR22-DCE-2012-0816-09:25","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"SEN06600-POOR22-DCE-2013-0820-10:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.6,0.4,0,0,0
"SEN06600-POOR22-DCE-2014-0827-10:12","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.2,0.8,0,0,0
"SEN06600-POOR22-DCE-2015-0916-11:36","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.166666666666667,0.83333333,0,0,0
"SEN06600-POOR22-DCE-2016-0726-10:51","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.0999999999999999,0.9,0,0,0
"SEN06600-POOR22-DCE-2017-0725-10:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.5,0.5,0,0,0
"SEN06600-TEAN04-DCE-2010-0923-10:20","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.61573236889693,0.38426763,0,0
"SEN06600-TEAN04-DCE-2012-0724-11:50","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"SEN06600-TEAN04-DCE-2012-1010-09:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.7,0.3,0,0
"SEN06600-TEAN04-DCE-2013-0917-09:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.6,0.4,0,0,0
"SEN06600-TEAN04-DCE-2014-0924-10:57","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"SEN06600-TEAN04-DCE-2015-0901-10:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"SEN06600-TEAN04-DCE-2016-0803-10:35","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.9,0.1,0,0
"SEN06600-TEAN04-DCE-2017-1002-12:16","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.048403193612775,0.95159681,0,0,0
"SEN06600-TRAP08-DCE-2010-0824-11:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.0831301531914512,0.91686985,0,0,0
"SEN06600-TRAP08-DCE-2011-0914-12:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"SEN06600-TRAP08-DCE-2012-0904-13:45","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"SEN06600-TRAP08-DCE-2013-0909-13:10","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"SEN06600-TRAP08-DCE-2014-0915-15:32","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"SEN06600-TRAP08-DCE-2015-0922-12:47","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.113723608445297,0.88627639,0,0,0
"SEN06600-TRAP08-DCE-2017-0829-09:31","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"SEN06600-TWEN05-DCE-2010-0928-13:20","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.7,0.3,0,0,0
"SEN06600-TWEN05-DCE-2011-0802-10:10","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.333333333333333,0.66666667,0,0,0
"SEN06600-TWEN05-DCE-2012-0815-10:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.0999999999999996,0.9,0,0,0
"SEN06600-TWEN05-DCE-2013-0819-10:43","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.5,0.5,0,0,0
"SEN06600-TWEN05-DCE-2014-0826-13:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.7,0.3,0,0,0
"SEN06600-TWEN05-DCE-2015-0917-09:35","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"SEN06600-TWEN05-DCE-2016-0727-09:54","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.4,0.6,0,0,0
"SEN06600-TWEN05-DCE-2017-0726-10:18","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"WAM06600-000188-DCE-2012-0724-13:40","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.333333333333333,0.66666667,0,0,0
"WAM06600-000188-DCE-2012-0826-10:50","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.6,0.4,0,0
"WAM06600-000672-DCE-2009-0923-11:09","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.9,0.1,0,0,0
"WAM06600-000672-DCE-2013-0816-11:45","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.9,0.1,0,0
"WAM06600-000857-DCE-2010-0729-12:57","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.9,0.1,0,0,0
"WAM06600-001402-DCE-2009-0927-11:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.8,0.2,0,0,0
