TaxaID,SampleID,CollDate,N_TAXA,Changed,Rationale,OTU_BCG_MariNW,Match_Official,NonTarget,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,Thermal_indicator,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Hydropsychidae,05014REFa,8/3/2005,23,no,,Hydropsychidae,TRUE,FALSE,4,UNKN,UNKN,RHEO,NA,eurythermal,,20.05802869,23.09,,yes,115398,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,,,,,,,,,,Trichoptera
Hydroptila,05014REF,8/3/2005,2,no,,Hydroptila,TRUE,FALSE,4,PH,multi,GENE,NA,warm,,22.10220252,25.856,warm,,115641,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydroptilidae,Hydroptilinae,Hydroptilini,,Hydroptila,,,,,,Trichoptera
Ironodes,05014REF,8/3/2005,1,no,,Ironodes,TRUE,FALSE,3,SC,uni,RHEO,NA,cool,,16.64769966,20.47,,,100666,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Ironodes,,,,,,Ephemeroptera
Malenka,06095DFW,8/7/2006,13,no,,Malenka,TRUE,FALSE,4,SH,uni,RHEO,NA,cool,,18.41402553,21.8,,,102567,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Amphinemurinae,,,Malenka,,,,,,Plecoptera
Malenka,05014REFa,8/3/2005,20,no,,Malenka,TRUE,FALSE,4,SH,uni,RHEO,NA,cool,,18.41402553,21.8,,,102567,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Amphinemurinae,,,Malenka,,,,,,Plecoptera
Malenka,05014REF,8/3/2005,9,no,,Malenka,TRUE,FALSE,4,SH,uni,RHEO,NA,cool,,18.41402553,21.8,,,102567,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Amphinemurinae,,,Malenka,,,,,,Plecoptera
Micrasema,05014REF,8/3/2005,7,no,,Micrasema,TRUE,FALSE,3,CG,semi,RHEO,NA,cool,,16.69097063,20.884,,,116958,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Micrasema,,,,,,Trichoptera
Micrasema,05014REFa,8/3/2005,2,no,,Micrasema,TRUE,FALSE,3,CG,semi,RHEO,NA,cool,,16.69097063,20.884,,,116958,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Micrasema,,,,,,Trichoptera
Micropsectra,06095DFW,8/7/2006,78,no,,Micropsectra,TRUE,FALSE,4,CG,multi,GENE,NA,eurythermal,,17.83960257,22.56,eurythermal,,129890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Micropsectra,,,,,,Chironomidae
Micropsectra,05014REFa,8/3/2005,6,no,,Micropsectra,TRUE,FALSE,4,CG,multi,GENE,NA,eurythermal,,17.83960257,22.56,eurythermal,,129890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Micropsectra,,,,,,Chironomidae
